Name,G,PA_per_G,AB_per_G,R_per_G,H_per_G,2B_per_G,3B_per_G,HR_per_G,RBI_per_G,SB_per_G,CS_per_G,BB_per_G,SO_per_G,TB_per_G,HBP_per_G,BA,OBP,SLG,OPS,MLB_WAR_Total
Aaron Sabato,83.0,4.433734939759036,3.5542168674698793,0.8072289156626506,1.180722891566265,0.37349397590361444,0.012048192771084338,0.30120481927710846,0.9759036144578314,0.0,0.012048192771084338,0.7349397590361446,0.8674698795180723,2.4819277108433737,0.12048192771084337,0.33052717391304354,0.4591141304347826,0.6989347826086956,1.1578043478260869,
Aaron Zavala,113.0,4.265486725663717,3.47787610619469,0.8230088495575221,1.2300884955752212,0.21238938053097345,0.02654867256637168,0.08849557522123894,0.6814159292035398,0.13274336283185842,0.04424778761061947,0.6637168141592921,0.6017699115044248,1.761061946902655,0.08849557522123894,0.35611203319502077,0.4644522821576763,0.5126908713692947,0.9775331950207469,
Adam Crampton,130.0,3.8846153846153846,3.269230769230769,0.4846153846153846,0.9692307692307692,0.13076923076923078,0.015384615384615385,0.023076923076923078,0.45384615384615384,0.11538461538461539,0.023076923076923078,0.3153846153846154,0.5692307692307692,1.2,0.08461538461538462,0.29681980198019803,0.3670039603960396,0.3678811881188119,0.7344613861386139,
Alan Roden,91.0,4.593406593406593,3.758241758241758,0.967032967032967,1.4395604395604396,0.46153846153846156,0.02197802197802198,0.15384615384615385,1.032967032967033,0.14285714285714285,0.06593406593406594,0.5384615384615384,0.2967032967032967,2.4065934065934065,0.24175824175824176,0.3834736842105263,0.48435406698564587,0.6383995215311005,1.1231626794258374,-1.7
Alerick Soularie,76.0,4.092105263157895,3.3684210526315788,0.8947368421052632,1.131578947368421,0.18421052631578946,0.013157894736842105,0.21052631578947367,0.8289473684210527,0.13157894736842105,0.013157894736842105,0.6447368421052632,0.618421052631579,1.9736842105263157,0.05263157894736842,0.3355852090032154,0.4483922829581994,0.5855819935691319,1.0339742765273312,
Alex Binelas,111.0,4.324324324324325,3.675675675675676,0.8738738738738738,1.0,0.21621621621621623,0.06306306306306306,0.2972972972972973,1.1081081081081081,0.06306306306306306,0.009009009009009009,0.43243243243243246,0.9099099099099099,2.234234234234234,0.13513513513513514,0.2720708333333333,0.3627291666666667,0.6094729166666667,0.9712166666666666,
Alex Freeland,102.0,4.382352941176471,3.5392156862745097,0.7745098039215687,1.0098039215686274,0.17647058823529413,0.0,0.17647058823529413,0.7352941176470589,0.08823529411764706,0.029411764705882353,0.6862745098039216,0.9019607843137255,1.7156862745098038,0.0784313725490196,0.28558389261744965,0.40884563758389264,0.48577852348993283,0.8946241610738255,1.2
Alex Iadisernia,116.0,4.5344827586206895,3.7844827586206895,0.75,1.1810344827586208,0.25862068965517243,0.04310344827586207,0.13793103448275862,0.7241379310344828,0.19827586206896552,0.07758620689655173,0.5862068965517241,0.5517241379310345,1.9396551724137931,0.06896551724137931,0.3112205323193916,0.4066596958174905,0.5105076045627377,0.9171673003802282,
Andre Lipcius,169.0,4.408284023668639,3.7455621301775146,0.7218934911242604,1.1242603550295858,0.21893491124260356,0.011834319526627219,0.14792899408284024,0.7455621301775148,0.1242603550295858,0.03550295857988166,0.5325443786982249,0.5798816568047337,1.8106508875739644,0.07692307692307693,0.30000402684563754,0.3934187919463088,0.48230604026845636,0.875724832214765,-1.4
Andrew Jenkins,109.0,4.513761467889908,3.871559633027523,0.9541284403669725,1.3577981651376148,0.3211009174311927,0.01834862385321101,0.23853211009174313,0.963302752293578,0.06422018348623854,0.01834862385321101,0.28440366972477066,1.036697247706422,2.4311926605504586,0.23853211009174313,0.35068495934959343,0.41661991869918696,0.6280934959349594,1.0443089430894308,
