"bis_player_id","pick_round","pick_number","display_pick_number","round_pick_number","headshot_link","is_drafted","is_pass","year","school_name","person_id","person_full_name","person_link","person_first_name","person_last_name","person_primary_number","person_birth_date","person_current_age","person_birth_city","person_birth_state_province","person_birth_country","person_height","person_weight","person_active","person_use_name","person_use_last_name","person_middle_name","person_boxscore_name","person_nick_name","person_gender","person_is_player","person_is_verified","person_draft_year","person_mlb_debut_date","person_name_first_last","person_name_slug","person_first_last_name","person_last_first_name","person_last_init_name","person_init_last_name","person_full_fml_name","person_full_lfm_name","person_strike_zone_top","person_strike_zone_bottom","person_pronunciation","person_last_played_date","person_name_title","person_name_suffix","person_death_date","person_death_city","person_death_state_province","person_death_country","person_name_matrilineal","person_primary_position_code","person_primary_position_name","person_primary_position_type","person_primary_position_abbreviation","person_bat_side_code","person_bat_side_description","person_pitch_hand_code","person_pitch_hand_description","team_all_star_status","team_id","team_name","team_link","team_spring_league_id","team_spring_league_name","team_spring_league_link","team_spring_league_abbreviation","draft_type_code","draft_type_description","draft_year","rank","pick_value","signing_bonus","scouting_report","blurb","home_city","home_state","home_country","school_city","school_country","school_state","school_school_class"
345633,1,6,6,6,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543685/headshot/draft/current",TRUE,FALSE,2011,"Rice",543685,"Anthony Rendon","/api/v1/people/543685","Anthony","Rendon",6,"1990-06-06",35,"Houston","TX","USA","6' 1""",200,TRUE,"Anthony","Rendon","Michael","Rendon","Ant","M",TRUE,TRUE,2011,"2013-04-21","Anthony Rendon","anthony-rendon-543685","Anthony Rendon","Rendon, Anthony","Rendon, A","A Rendon","Anthony Michael Rendon","Rendon, Anthony Michael",3.38,1.62,"ren-DOHN",NA,NA,NA,NA,NA,NA,NA,NA,"5","Third Base","Infielder","3B","R","Right","R","Right","N",120,"Washington Nationals","/api/v1/teams/120",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345403,1,11,11,11,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543807/headshot/draft/current",TRUE,FALSE,2011,"Connecticut",543807,"George Springer","/api/v1/people/543807","George","Springer",4,"1989-09-19",36,"New Britain","CT","USA","6' 1""",220,TRUE,"George","Springer","Chelston","Springer","Horhay","M",TRUE,TRUE,2011,"2014-04-16","George Springer","george-springer-543807","George Springer","Springer, George","Springer, G","G Springer","George Chelston Springer","Springer, George Chelston",3.54,1.62,NA,NA,"III","III",NA,NA,NA,NA,NA,"9","Outfielder","Outfielder","RF","R","Right","R","Right","N",117,"Houston Astros","/api/v1/teams/117",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349144,1,17,17,17,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543068/headshot/draft/current",TRUE,FALSE,2011,"Utah",543068,"C.J. Cron","/api/v1/people/543068","Christopher","Cron",NA,"1990-01-05",36,"Fullerton","CA","USA","6' 4""",235,FALSE,"C.J.","Cron","John","Cron","Crony","M",TRUE,TRUE,2011,"2014-05-03","C.J. Cron","c-j-cron-543068","C.J. Cron","Cron, C.J.","Cron, C","C Cron","Christopher John Cron","Cron, Christopher John",3.78,1.78,"CRONE","2023-09-21",NA,NA,NA,NA,NA,NA,NA,"3","First Base","Infielder","1B","R","Right","R","Right","N",108,"Los Angeles Angels","/api/v1/teams/108",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338901,1,29,29,29,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/605412/headshot/draft/current",TRUE,FALSE,2011,"St. John's (NY)",605412,"Joe Panik","/api/v1/people/605412","Joseph","Panik",NA,"1990-10-30",35,"Yonkers","NY","USA","6' 1""",205,FALSE,"Joe","Panik","Matthew","Panik","J.P.","M",TRUE,TRUE,2011,"2014-05-22","Joe Panik","joe-panik-605412","Joe Panik","Panik, Joe","Panik, J","J Panik","Joseph Matthew Panik","Panik, Joseph Matthew",3.04,1.41,"panic","2021-09-30",NA,NA,NA,NA,NA,NA,NA,"4","Second Base","Infielder","2B","L","Left","R","Right","N",137,"San Francisco Giants","/api/v1/teams/137",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348765,1,31,31,31,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543484/headshot/draft/current",TRUE,FALSE,2011,"LSU",543484,"Mikie Mahtook","/api/v1/people/543484","Michael","Mahtook",27,"1989-11-30",36,"Lafayette","LA","USA","6' 2""",220,FALSE,"Mikie","Mahtook","Anthony","Mahtook","Night Hawk","M",TRUE,TRUE,2011,"2015-04-10","Mikie Mahtook","mikie-mahtook-543484","Mikie Mahtook","Mahtook, Mikie","Mahtook, M","M Mahtook","Michael Anthony Mahtook","Mahtook, Michael Anthony",3.299,1.665,"Mike-ee MAH-took","2019-04-10",NA,NA,NA,NA,NA,NA,NA,"8","Outfielder","Outfielder","CF","R","Right","R","Right","N",139,"Tampa Bay Rays","/api/v1/teams/139",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346415,2,62,62,2,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543543/headshot/draft/current",TRUE,FALSE,2011,"Clemson",543543,"Brad Miller","/api/v1/people/543543","Bradley","Miller",15,"1989-10-18",36,"Orlando","FL","USA","6' 2""",195,TRUE,"Brad","Miller","Austin","Miller, B","J. Windermere","M",TRUE,TRUE,2011,"2013-06-28","Brad Miller","brad-miller-543543","Brad Miller","Miller, Brad","Miller, B","B Miller","Bradley Austin Miller","Miller, Bradley Austin",3.43,1.57,"MILL-urr",NA,NA,NA,NA,NA,NA,NA,NA,"10","Designated Hitter","Hitter","DH","L","Left","R","Right","N",136,"Seattle Mariners","/api/v1/teams/136",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342581,2,64,64,4,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543138/headshot/draft/current",TRUE,FALSE,2011,"Vanderbilt",543138,"Jason Esposito","/api/v1/people/543138","Jason","Esposito",NA,"1990-07-19",35,"Bethany","CT","USA","6' 2""",200,FALSE,"Jason","Esposito","Michael","Esposito",NA,"M",TRUE,FALSE,2011,NA,"Jason Esposito","jason-esposito-543138","Jason Esposito","Esposito, Jason","Esposito, J","J Esposito","Jason Michael Esposito","Esposito, Jason Michael",3.299,1.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Third Base","Infielder","3B","R","Right","R","Right","N",110,"Baltimore Orioles","/api/v1/teams/110",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357430,2,85,85,25,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/605113/headshot/draft/current",TRUE,FALSE,2011,"Connecticut",605113,"Nick Ahmed","/api/v1/people/605113","Nicholas","Ahmed",NA,"1990-03-15",35,"East Longmeadow","MA","USA","6' 1""",201,FALSE,"Nick","Ahmed","Mark","Ahmed","Slick Nick","M",TRUE,TRUE,2011,"2014-06-29","Nick Ahmed","nick-ahmed-605113","Nick Ahmed","Ahmed, Nick","Ahmed, N","N Ahmed","Nicholas Mark Ahmed","Ahmed, Nicholas Mark",3.68,1.76,"AH-med","2025-05-01",NA,NA,NA,NA,NA,NA,NA,"6","Shortstop","Infielder","SS","R","Right","R","Right","N",144,"Atlanta Braves","/api/v1/teams/144",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351473,2,86,86,26,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/572180/headshot/draft/current",TRUE,FALSE,2011,"Oregon State",572180,"Andrew Susac","/api/v1/people/572180","Andrew","Susac",NA,"1990-03-22",35,"Roseville","CA","USA","6' 1""",220,TRUE,"Andrew","Susac","John","Susac","Suze","M",TRUE,TRUE,2011,"2014-05-22","Andrew Susac","andrew-susac-572180","Andrew Susac","Susac, Andrew","Susac, A","A Susac","Andrew John Susac","Susac, Andrew John",3.255,1.643,"SUE-sack",NA,NA,NA,NA,NA,NA,NA,NA,"2","Catcher","Catcher","C","R","Right","R","Right","N",137,"San Francisco Giants","/api/v1/teams/137",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340897,3,99,99,9,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/542887/headshot/draft/current",TRUE,FALSE,2011,"Vanderbilt",542887,"Jack Armstrong","/api/v1/people/542887","Jack","Armstrong",NA,"1989-12-14",36,"Jupiter","FL","USA","6' 7""",230,FALSE,"Jack","Armstrong","William","Armstrong",NA,"M",TRUE,TRUE,2011,NA,"Jack Armstrong","jack-armstrong-542887","Jack Armstrong","Armstrong, Jack","Armstrong, J","J Armstrong","Jack William Armstrong","Armstrong, Jack William",3.522,1.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","First Base","Infielder","1B","R","Right","R","Right","N",117,"Houston Astros","/api/v1/teams/117",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363624,3,103,103,13,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/605365/headshot/draft/current",TRUE,FALSE,2011,"North Carolina State",605365,"Pratt Maynard","/api/v1/people/605365","Pratt","Maynard",NA,"1989-11-19",36,"Franklinton","NC","USA","6' 0""",215,FALSE,"Pratt","Maynard","L.","Maynard",NA,"M",TRUE,FALSE,2011,NA,"Pratt Maynard","pratt-maynard-605365","Pratt Maynard","Maynard, Pratt","Maynard, P","P Maynard","Pratt L. Maynard","Maynard, Pratt L.",3.21,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Catcher","Catcher","C","L","Left","R","Right","N",119,"Los Angeles Dodgers","/api/v1/teams/119",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348187,3,105,105,15,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543884/headshot/draft/current",TRUE,FALSE,2011,"Southern Miss",543884,"B.A. Vollmuth","/api/v1/people/543884","Bryan","Vollmuth",NA,"1989-12-23",36,"Biloxi","MS","USA","6' 3""",215,FALSE,"B.A.","Vollmuth","Anthony","Vollmuth",NA,"M",TRUE,TRUE,2011,NA,"B.A. Vollmuth","b-a-vollmuth-543884","B.A. Vollmuth","Vollmuth, B.A.","Vollmuth, B","B Vollmuth","Bryan Anthony Vollmuth","Vollmuth, Bryan Anthony",3.344,1.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Third Base","Infielder","3B","R","Right","R","Right","N",133,"Athletics","/api/v1/teams/133",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359973,3,106,106,16,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/592852/headshot/draft/current",TRUE,FALSE,2011,"Vanderbilt",592852,"Aaron Westlake","/api/v1/people/592852","Aaron","Westlake",NA,"1988-12-27",37,"Redding","CA","USA","6' 4""",235,FALSE,"Aaron","Westlake","James","Westlake",NA,"M",TRUE,TRUE,2011,NA,"Aaron Westlake","aaron-westlake-592852","Aaron Westlake","Westlake, Aaron","Westlake, A","A Westlake","Aaron James Westlake","Westlake, Aaron James",3.388,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","First Base","Infielder","1B","L","Left","R","Right","N",116,"Detroit Tigers","/api/v1/teams/116",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357458,3,115,115,25,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/605323/headshot/draft/current",TRUE,FALSE,2011,"Texas State",605323,"Kyle Kubitza","/api/v1/people/605323","Kyle","Kubitza",75,"1990-07-15",35,"Arlington","TX","USA","6' 3""",210,FALSE,"Kyle","Kubitza","Andrew","Kubitza",NA,"M",TRUE,TRUE,2011,"2015-06-10","Kyle Kubitza","kyle-kubitza-605323","Kyle Kubitza","Kubitza, Kyle","Kubitza, K","K Kubitza","Kyle Andrew Kubitza","Kubitza, Kyle Andrew",3.344,1.688,"ka-BIT-sa","2015-10-02",NA,NA,NA,NA,NA,NA,NA,"5","Third Base","Infielder","3B","L","Left","R","Right","N",144,"Atlanta Braves","/api/v1/teams/144",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344597,3,116,116,26,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543609/headshot/draft/current",TRUE,FALSE,2011,"Southern California",543609,"Ricky Oropesa","/api/v1/people/543609","Efrin","Oropesa",NA,"1989-12-15",36,"Los Angeles","CA","USA","6' 3""",225,FALSE,"Ricky","Oropesa","Ricardo","Oropesa",NA,"M",TRUE,TRUE,2011,NA,"Ricky Oropesa","ricky-oropesa-543609","Ricky Oropesa","Oropesa, Ricky","Oropesa, R","R Oropesa","Efrin Ricardo Oropesa","Oropesa, Efrin Ricardo",3.344,1.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","First Base","Infielder","1B","L","Left","R","Right","N",137,"San Francisco Giants","/api/v1/teams/137",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349508,4,123,123,2,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543308/headshot/draft/current",TRUE,FALSE,2011,"Virginia",543308,"John Hicks","/api/v1/people/543308","John","Hicks",NA,"1989-08-31",36,"Richmond","VA","USA","6' 2""",230,TRUE,"John","Hicks","Austin","Hicks, J","Jazz","M",TRUE,TRUE,2011,"2015-08-29","John Hicks","john-hicks-543308","John Hicks","Hicks, John","Hicks, J","J Hicks","John Austin Hicks","Hicks, John Austin",3.299,1.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Catcher","Catcher","C","R","Right","R","Right","N",136,"Seattle Mariners","/api/v1/teams/136",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366765,4,128,128,7,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/607021/headshot/draft/current",TRUE,FALSE,2011,"James Madison",607021,"Jake Lowery","/api/v1/people/607021","Mark","Lowery",NA,"1990-07-21",35,"Richmond","VA","USA","6' 0""",200,TRUE,"Jake","Lowery","Jacob","Lowery",NA,"M",TRUE,TRUE,2011,NA,"Jake Lowery","jake-lowery-607021","Jake Lowery","Lowery, Jake","Lowery, J","J Lowery","Mark Jacob Lowery","Lowery, Mark Jacob",3.21,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Catcher","Catcher","C","L","Left","R","Right","N",114,"Cleveland Guardians","/api/v1/teams/114",114,"Cactus League","/api/v1/league/114","CL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343137,4,137,137,16,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/518888/headshot/draft/current",TRUE,FALSE,2011,"Kansas State",518888,"Jason King","/api/v1/people/518888","Jason","King",NA,"1989-06-14",36,"Dublin","OH","USA","6' 0""",216,FALSE,"Jason","King","E.","King",NA,"M",TRUE,FALSE,2011,NA,"Jason King","jason-king-518888","Jason King","King, Jason","King, J","J King","Jason E. King","King, Jason E.",3.21,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Third Base","Infielder","3B","S","Switch","R","Right","N",116,"Detroit Tigers","/api/v1/teams/116",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345777,4,150,150,29,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/543861/headshot/draft/current",TRUE,FALSE,2011,"Arizona State",543861,"Riccio Torrez","/api/v1/people/543861","Riccio","Torrez",NA,"1989-10-14",36,"Phoenix","AZ","USA","6' 0""",205,FALSE,"Riccio","Torrez","Mariano","Torrez",NA,"M",TRUE,TRUE,2011,NA,"Riccio Torrez","riccio-torrez-543861","Riccio Torrez","Torrez, Riccio","Torrez, R","R Torrez","Riccio Mariano Torrez","Torrez, Riccio Mariano",3.21,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Third Base","Infielder","3B","R","Right","R","Right","N",139,"Tampa Bay Rays","/api/v1/teams/139",115,"Grapefruit League","/api/v1/league/115","GL","JR","Rule 4 / June Amateur Draft",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
