Name - 162 Game Average,Age,Position,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,,
Grae Kessinger,28,3B,Houston Astros,-1.1,162,236,206,24,27,7,0,3,3,0,3,27,64,0.131,0.243,0.213,0.456,30,0.207,28,44,3,3,0,0,0,,
Zach Watson,28,CF,Baltimore Orioles,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peyton Burdick,28,CF,Miami Marlins,-1.4,162,490,440,42,88,21,0,18,46,7,0,39,187,0.2,0.281,0.368,0.649,79,0.29,75,162,4,11,0,0,0,,
Andre Lipcius,27,2B,Detroit Tigers,-1.4,162,490,440,42,88,21,0,18,46,7,0,39,187,0.2,0.281,0.368,0.649,79,0.29,75,162,4,11,0,0,0,,
Spencer Steer,28,1B,Minnesota Twins,1.7,162,663,584,75,142,32,3,22,87,16,3,67,143,0.243,0.329,0.421,0.75,101,0.335,102,246,9,9,0,3,0,,
Tristin English,28,OF,Arizona Diamondbacks,-5.6,162,532,509,0,46,23,0,0,23,0,0,23,185,0.091,0.13,0.136,0.267,-26,0.124,-40,69,0,0,0,0,0,,
Drew Mendoza,28,3B,Washington Nationals,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Fraizer,28,CF,Pittsburgh Pirates,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Sanford,28,CF,New York Yankees,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Brewer,28,CF,Houston Astros,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Ortiz,27,SS,Baltimore Orioles,1.6,162,556,499,66,116,23,4,10,58,13,5,44,98,0.233,0.299,0.352,0.651,82,0.29,78,176,12,5,5,4,0,,
Evan Edwards,28,1B,Miami Marlins,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Kreidler,28,CF,Detroit Tigers,-1.3,162,384,342,44,47,2,0,4,15,13,7,29,122,0.138,0.208,0.176,0.383,11,0.182,4,60,4,2,7,4,0,,
Tyler Fitzgerald,28,2B,San Francisco Giants,3.5,162,562,512,68,129,28,3,19,48,25,7,37,171,0.252,0.309,0.43,0.739,109,0.33,112,220,5,5,5,2,0,,
Will Robertson,28,LF,Toronto Blue Jays,-6.4,162,450,420,12,54,6,0,0,54,0,0,12,162,0.129,0.173,0.143,0.316,-10,0.149,-22,60,6,12,0,6,0,,
Jake Mangum,29,LF,New York Mets,2.2,162,588,556,51,165,25,1,4,55,37,8,26,88,0.296,0.33,0.368,0.698,96,0.313,93,205,5,3,1,1,0,,
Seth Gray,27,3B,Minnesota Twins,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Kahle,27,C,Milwaukee Brewers,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle McCann,28,C,Athletics,0.5,162,471,420,39,99,12,0,15,45,0,0,48,177,0.236,0.318,0.371,0.69,101,0.305,100,156,6,3,0,0,3,,
John Rave,28,RF,Kansas City Royals,0.3,162,394,344,41,67,11,0,9,31,16,4,41,103,0.196,0.283,0.307,0.59,66,0.266,61,106,2,2,4,2,0,,
Bryant Packard,28,LF,Detroit Tigers,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellen Strahm,28,RF,Texas Rangers,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Morris,28,2B,Toronto Blue Jays,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Holland,27,SS,Minnesota Twins,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Shenton,28,1B,Seattle Mariners,0.9,162,426,358,26,77,43,0,9,26,0,0,68,119,0.214,0.34,0.405,0.745,114,0.329,114,145,9,0,0,0,0,,
Thomas Dillard,28,C,Milwaukee Brewers,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxx Groshans,27,C,Boston Red Sox,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maverick Handley,27,C,Baltimore Orioles,-9.1,162,476,415,20,30,0,0,0,30,0,0,20,182,0.073,0.133,0.073,0.207,-39,0.103,-59,30,0,10,20,10,0,,
Cooper Johnson,27,C,Detroit Tigers,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Ashford,29,CF,New York Mets,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Cluff,29,SS,Washington Nationals,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Matthiessen,28,1B,Pittsburgh Pirates,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Pages,27,C,St. Louis Cardinals,1.9,162,546,507,51,118,16,2,16,65,2,0,29,148,0.233,0.275,0.368,0.643,80,0.281,75,186,14,3,4,4,1,,
Matthew Barefoot,28,CF,Houston Astros,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Rizer,29,OF,Baltimore Orioles,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Yang,27,C,Cincinnati Reds,N/A,162,162,162,0,0,0,0,0,0,0,0,0,162,0,0,0,0,-100,0,-145,0,0,0,0,0,0,,
Armani Smith,27,OF,San Francisco Giants,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LJ Talley,28,2B,Toronto Blue Jays,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Ritter,29,2B,New York Mets,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Prato,27,SS,Minnesota Twins,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Brickhouse,27,1B,Arizona Diamondbacks,Never Debuted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
