Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Grae Kessinger,2017,19,-1.7,Mississippi,SEC,NCAA,,55,189,154,15,27,5,0,2,16,2,4,23,30,0.175,0.287,0.247,0.534,38,,2,8,2,0
Grae Kessinger,2018,20,-0.7,Mississippi,SEC,NCAA,,62,285,243,56,73,18,0,8,37,8,0,33,34,0.3,0.389,0.473,0.862,115,,4,2,3,0
Grae Kessinger,2019,21,0.3,Mississippi,SEC,NCAA,,68,330,270,67,89,18,0,7,50,16,3,41,35,0.33,0.43,0.474,0.904,128,,11,2,6,1
Zach Watson,2017,20,-0.7,Louisiana State,SEC,NCAA,,64,246,221,42,70,9,3,9,37,12,5,17,42,0.317,0.376,0.507,0.882,112,,5,1,2,0
Zach Watson,2018,21,0.3,Louisiana State,SEC,NCAA,,57,258,234,47,72,15,2,7,34,14,4,16,45,0.308,0.366,0.479,0.844,112,,6,1,1,0
Zach Watson,2019,22,1.3,Louisiana State,SEC,NCAA,,60,267,237,52,73,17,0,7,42,11,1,22,47,0.308,0.378,0.468,0.847,111,,6,0,2,2
Peyton Burdick,2016,19,-1.8,Wright State,Horz,NCAA,,63,239,194,44,56,14,2,4,31,2,3,27,39,0.289,0.409,0.443,0.853,86,,14,2,2,0
Peyton Burdick,2018,21,0.3,Wright State,Horz,NCAA,,56,279,225,60,78,19,2,9,65,15,3,31,35,0.347,0.437,0.569,1.006,128,,13,0,10,0
Peyton Burdick,2019,22,1.1,Wright State,Horz,NCAA,,59,286,214,79,87,18,3,15,72,24,3,60,35,0.407,0.538,0.729,1.267,156,,7,0,5,2
Andre Lipcius,2017,19,-1.7,Tennessee,SEC,NCAA,,52,231,193,32,53,11,2,1,26,9,4,31,36,0.275,0.381,0.368,0.749,71,,4,0,3,2
Andre Lipcius,2018,20,-0.7,Tennessee,SEC,NCAA,,56,238,203,39,64,11,0,7,42,2,1,28,29,0.315,0.399,0.473,0.872,96,,3,0,4,2
