Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,
Patrick Mazeika,2021,27,NYM,NL,-0.2,37,87,79,6,15,3,0,1,6,0,0,4,18,0.19,0.253,0.266,0.519,43,0.238,39,21,2,3,0,1,1,2H/3D,,,
Patrick Mazeika,2022,28,NYM,NL,-0.3,24,72,68,4,13,4,0,1,6,0,0,2,9,0.191,0.214,0.294,0.508,45,0.219,32,20,0,0,2,0,0,2/H3,,,
LaMonte Wade Jr.,2019,25,MIN,AL,0,26,69,56,10,11,2,1,2,5,0,1,11,9,0.196,0.348,0.375,0.723,94,0.312,94,21,0,2,0,0,0,8/7H93D,,,
LaMonte Wade Jr.,2020,26,MIN,AL,0,16,44,39,3,9,3,0,0,1,1,1,4,9,0.231,0.318,0.308,0.626,76,0.276,73,12,0,1,0,0,0,/38H79D,,,
LaMonte Wade Jr.,2021,27,SFG,NL,1.4,109,381,336,52,85,17,3,18,56,6,1,33,89,0.253,0.326,0.482,0.808,117,0.349,115,162,3,5,4,3,1,973H/8,MVP-21,,
Kevin Kaczmarski,2018,26,NYM,NL,-0.1,4,5,4,0,0,0,0,0,0,0,1,1,1,0,0.2,0,0.2,-37,0.04,-33,0,0,0,0,0,0,/H9,,,
Vimael Mach�n,2020,26,OAK,AL,-0.4,24,71,63,11,13,2,0,0,0,0,0,8,10,0.206,0.296,0.238,0.534,53,0.265,63,15,4,0,0,0,0,5/6D43H,,,
Vimael Mach�n,2021,27,OAK,AL,-0.3,15,37,32,1,4,0,0,0,1,0,0,3,10,0.125,0.2,0.125,0.325,-5,0.159,-15,4,2,0,2,0,0,/645H,,,
Vimael Mach�n,2022,28,OAK,AL,-0.5,73,253,223,26,49,12,0,1,13,1,1,25,47,0.22,0.3,0.287,0.587,75,0.277,81,64,6,2,0,3,0,5H/46D,,,
Nick Senzel,2019,24,CIN,NL,0.1,104,414,375,55,96,20,4,12,42,14,5,30,101,0.256,0.315,0.427,0.742,87,0.327,87,160,6,3,0,1,0,8H/4,,,
Nick Senzel,2020,25,CIN,NL,-0.2,23,78,70,8,13,6,0,2,8,2,1,6,15,0.186,0.247,0.357,0.604,55,0.259,42,25,2,0,0,1,0,8/H,,,
Nick Senzel,2021,26,CIN,NL,-0.5,36,124,111,18,28,4,0,1,8,2,5,12,16,0.252,0.323,0.315,0.638,67,0.279,67,35,3,0,0,1,0,8/4H5,,,
Corey Ray,2021,26,MIL,NL,0,1,3,2,1,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,3,0.232,31,0,0,0,0,0,0,/9H,,,
Kyle Lewis,2019,23,SEA,AL,0.5,18,75,71,10,19,5,0,6,13,0,0,3,29,0.268,0.293,0.592,0.885,131,0.356,125,42,0,0,0,1,0,9/8H,,,
Kyle Lewis,2020,24,SEA,AL,1.6,58,242,206,37,54,3,0,11,28,5,1,34,71,0.262,0.364,0.437,0.801,124,0.355,125,90,5,0,0,2,0,*8/DH,MVP-17ROY-1,,
Kyle Lewis,2021,25,SEA,AL,0.4,36,147,130,15,32,4,0,5,11,2,0,16,37,0.246,0.333,0.392,0.726,104,0.327,108,51,1,1,0,0,0,8/D,,,
Matt Thaiss,2019,24,LAA,AL,0.3,53,164,147,17,31,7,0,8,23,0,0,17,52,0.211,0.293,0.422,0.714,86,0.302,81,62,4,0,0,0,0,53/H,,,
Matt Thaiss,2020,25,LAA,AL,-0.3,8,25,21,3,3,0,0,1,1,0,0,4,8,0.143,0.28,0.286,0.566,56,0.263,56,6,1,0,0,0,0,/3D457H,,,
Matt Thaiss,2021,26,LAA,AL,-0.1,3,8,7,1,1,0,0,0,0,0,0,1,1,0.143,0.25,0.143,0.393,12,0.198,11,1,0,0,0,0,0,/3H,,,
Will Craig,2020,25,PIT,NL,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-129,0,0,0,0,0,0,/3,,,
Will Craig,2021,26,PIT,NL,-0.6,18,65,60,5,13,2,0,1,3,0,0,5,22,0.217,0.277,0.3,0.577,57,0.262,53,18,1,0,0,0,1,3/H,,,
Will Smith,2019,24,LAD,NL,1.7,54,196,170,30,43,9,0,15,42,2,0,18,52,0.253,0.337,0.571,0.907,133,0.38,134,97,3,5,0,3,1,2/HD,,,
Will Smith,2020,25,LAD,NL,1.4,37,137,114,23,33,9,0,8,25,0,0,20,22,0.289,0.401,0.579,0.98,162,0.41,157,66,2,2,0,1,1,2/DH,,,
Will Smith,2021,26,LAD,NL,3.3,130,501,414,71,107,19,2,25,76,3,0,58,101,0.258,0.365,0.495,0.86,127,0.374,128,205,11,18,0,11,4,*2H/D35,,,
Chris Okey,2022,27,CIN,NL,-0.2,7,13,12,3,2,0,0,0,0,0,0,0,5,0.167,0.231,0.167,0.397,12,0.194,5,2,0,1,0,0,0,/2,,,
Chris Okey,2023,28,LAA,AL,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-125,0,0,0,0,0,0,/2,,,
Sheldon Neuse,2019,24,OAK,AL,0.3,25,61,56,3,14,3,0,0,7,0,0,4,19,0.25,0.295,0.304,0.599,64,0.265,61,17,2,0,0,1,0,4/5D,,,
Sheldon Neuse,2021,26,LAD,NL,-0.5,33,66,65,6,11,1,0,3,4,1,1,1,26,0.169,0.182,0.323,0.505,31,0.221,24,21,2,0,0,0,0,4H/579D,,,
Sheldon Neuse,2022,27,OAK,AL,-0.8,89,293,271,25,58,4,2,4,26,6,1,20,80,0.214,0.273,0.288,0.561,66,0.259,65,78,5,2,0,0,0,543HD/16,,,
Bryan Reynolds,2019,24,PIT,NL,4.2,134,546,491,83,154,37,4,16,68,3,2,46,121,0.314,0.377,0.503,0.88,130,0.381,137,247,9,6,0,3,0,*798/H,ROY-4,,
Bryan Reynolds,2020,25,PIT,NL,0.5,55,208,185,24,35,6,2,7,19,1,1,21,57,0.189,0.275,0.357,0.632,71,0.279,68,66,2,1,0,0,0,*78/HD,,,
Bryan Reynolds,2021,26,PIT,NL,6,159,646,559,93,169,35,8,24,90,5,2,75,119,0.302,0.39,0.522,0.912,145,0.394,147,292,10,8,0,4,9,*87/HD,ASMVP-11,,
Ronnie Dawson,2021,26,HOU,AL,-0.1,3,6,5,2,1,0,0,0,0,0,0,1,0,0.2,0.333,0.2,0.533,53,0.264,60,1,1,0,0,0,0,/DH,,,
Ronnie Dawson,2022,27,CIN,NL,-0.1,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-132,0,0,0,0,0,0,/D,,,
Nick Solak,2019,24,TEX,AL,0.7,33,135,116,19,34,6,1,5,17,2,0,15,29,0.293,0.393,0.491,0.884,123,0.397,136,57,2,4,0,0,1,D5/4H,,,
Nick Solak,2020,25,TEX,AL,-1.1,58,233,209,27,56,10,0,2,23,7,1,18,42,0.268,0.326,0.344,0.671,86,0.304,84,72,6,2,0,4,0,748/D3H,,,
Nick Solak,2021,26,TEX,AL,1,127,511,458,57,111,18,2,11,49,7,5,34,107,0.242,0.314,0.362,0.677,87,0.303,89,166,11,15,2,2,0,*4/DH,,,
Pete Alonso,2019,24,NYM,NL,5.4,161,693,597,103,155,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,147,0.399,154,348,13,21,0,3,6,*3/HD,ASMVP-7ROY-1,,
Pete Alonso,2020,25,NYM,NL,0.1,57,239,208,31,48,6,0,16,35,1,0,24,61,0.231,0.326,0.49,0.817,122,0.342,114,102,4,6,0,1,4,3D/H,,,
Pete Alonso,2021,26,NYM,NL,4.1,152,637,561,81,147,27,3,37,94,3,0,60,127,0.262,0.344,0.519,0.863,133,0.377,137,291,20,12,0,4,6,*3/DH,,,
