Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Hutton Moyer,2013,20,-0.5,Pepperdine,WCC,NCAA,,39,182,163,20,42,4,1,3,16,7,0,10,36,0.258,0.309,0.35,0.659,57,,3,4,2,0
Hutton Moyer,2014,21,0.6,Pepperdine,WCC,NCAA,,61,273,232,52,71,24,4,0,22,15,4,17,38,0.306,0.387,0.444,0.831,103,,16,4,4,2
Hutton Moyer,2015,22,1.5,Pepperdine,WCC,NCAA,,59,273,220,52,65,9,4,14,45,15,8,31,58,0.295,0.413,0.564,0.977,124,,16,2,4,4
Kal Simmons,2013,19,-1.3,Kennesaw,ASun,NCAA,,52,217,187,20,54,11,0,0,27,4,3,14,30,0.289,0.341,0.348,0.689,65,,2,12,2,0
Kal Simmons,2014,20,-0.7,Kennesaw,ASun,NCAA,,62,308,268,46,73,6,1,1,26,3,1,23,33,0.272,0.332,0.313,0.646,84,,4,7,6,0
Kal Simmons,2015,21,0.3,Kennesaw,ASun,NCAA,,55,257,212,41,57,7,0,10,35,15,4,31,34,0.269,0.38,0.443,0.823,94,,7,7,0,4
Casey Schroeder,2013,19,-1.4,Kentucky,SEC,NCAA,,8,7,6,0,0,0,0,0,0,0,0,1,3,0,0.143,0,0.143,0,,0,0,0,0
Casey Schroeder,2015,21,0.2,Coastal Carolina,BigS,NCAA,,54,217,174,41,40,8,0,13,31,2,1,33,41,0.23,0.37,0.5,0.87,87,,7,1,2,0
Patrick Mazeika,2013,19,-1.3,Stetson,ASun,NCAA,,57,261,212,38,81,11,2,3,33,1,0,32,19,0.382,0.488,0.495,0.984,105,,14,1,2,4
Patrick Mazeika,2014,20,-0.7,Stetson,ASun,NCAA,,59,259,206,42,73,18,0,2,27,1,0,34,18,0.354,0.479,0.471,0.95,97,,17,0,2,5
Patrick Mazeika,2015,21,0.3,Stetson,ASun,NCAA,,58,255,202,43,62,13,1,7,53,1,0,33,16,0.307,0.439,0.485,0.924,98,,17,0,3,3
Nick Collins,2013,19,-1.6,Georgetown,BigE,NCAA,,47,196,177,20,59,6,2,3,30,0,1,12,19,0.333,0.383,0.441,0.823,78,,4,0,3,0
Nick Collins,2014,20,-0.4,Georgetown,BigE,NCAA,,48,220,188,31,65,8,0,2,38,2,2,18,27,0.346,0.414,0.42,0.834,79,,8,0,6,0
Nick Collins,2015,21,0.3,Georgetown,BigE,NCAA,,53,237,211,34,78,15,0,7,36,6,1,22,21,0.37,0.435,0.54,0.975,114,,3,0,1,9
Kyle Survance Jr.,2013,19,-1.5,Houston,CUSA,NCAA,,51,191,167,36,50,4,2,0,20,19,3,13,37,0.299,0.357,0.347,0.704,58,,2,9,0,0
Kyle Survance Jr.,2014,20,-0.6,Houston,Amer,NCAA,,65,308,253,53,78,11,2,2,32,31,6,35,44,0.308,0.411,0.391,0.802,99,,11,6,3,2
Kyle Survance Jr.,2015,21,0.4,Houston,Amer,NCAA,,60,291,246,51,73,8,6,2,34,31,8,31,52,0.297,0.385,0.402,0.788,99,,7,3,4,0
LaMonte Wade Jr.,2013,19,-1.5,Maryland,ACC,NCAA,,55,256,200,36,52,14,3,1,38,14,5,41,35,0.26,0.387,0.375,0.762,75,,3,8,4,2
LaMonte Wade Jr.,2014,20,-0.5,Maryland,ACC,NCAA,,62,288,227,37,56,12,1,2,25,4,1,36,37,0.247,0.358,0.335,0.693,76,,5,17,3,1
LaMonte Wade Jr.,2015,21,0.1,Maryland,BTen,NCAA,,42,194,158,30,53,7,1,4,32,7,2,30,20,0.335,0.453,0.468,0.921,74,,4,2,0,0
Tucker Tubbs,2012,19,-1.8,Memphis,CUSA,NCAA,,37,97,82,14,21,4,2,1,18,2,1,10,14,0.256,0.323,0.39,0.713,32,,0,1,4,1
Tucker Tubbs,2013,20,-0.5,Memphis,CUSA,NCAA,,58,247,215,34,71,7,1,4,32,2,5,19,33,0.33,0.402,0.428,0.83,92,,9,1,3,2
Tucker Tubbs,2014,21,0.4,Memphis,Amer,NCAA,,50,212,172,24,42,12,0,3,33,3,1,28,31,0.244,0.36,0.366,0.726,63,,6,1,5,0
Tucker Tubbs,2015,22,1.4,Memphis,Amer,NCAA,,58,258,223,41,68,15,0,17,55,7,1,26,27,0.305,0.393,0.601,0.994,134,,7,1,1,3
Mark Laird,2013,20,-0.4,Louisiana State,SEC,NCAA,,63,279,241,48,74,7,1,0,18,6,5,23,31,0.307,0.371,0.344,0.715,83,,2,12,1,0
Mark Laird,2014,21,0.5,Louisiana State,SEC,NCAA,,59,261,223,38,65,10,2,0,27,10,5,25,23,0.291,0.366,0.354,0.72,79,,3,7,3,1
Mark Laird,2015,22,1.5,Louisiana State,SEC,NCAA,,64,300,260,53,84,10,1,1,24,24,6,25,25,0.323,0.388,0.381,0.768,99,,3,11,1,1
Daniel De La Calle,2014,21,0.5,Florida State,ACC,NCAA,,58,209,174,27,39,3,0,0,29,1,0,17,37,0.224,0.315,0.241,0.557,42,,8,6,4,0
Daniel De La Calle,2015,22,1.5,Florida State,ACC,NCAA,,63,229,207,37,52,9,2,8,35,2,1,11,65,0.251,0.293,0.43,0.723,89,,3,4,4,0
Kevin Kaczmarski,2012,20,-0.6,Evansville,MVC,NCAA,,57,251,201,38,61,13,5,1,33,12,2,30,46,0.303,0.41,0.433,0.843,87,,7,12,1,1
Kevin Kaczmarski,2013,21,0.3,Evansville,MVC,NCAA,,57,273,236,48,80,15,3,6,31,15,6,25,41,0.339,0.411,0.504,0.915,119,,6,3,3,2
Kevin Kaczmarski,2014,22,1.2,Evansville,MVC,NCAA,,55,255,219,40,69,19,5,4,50,7,4,24,39,0.315,0.375,0.502,0.878,110,,2,2,8,1
Kevin Kaczmarski,2015,23,2.2,Evansville,MVC,NCAA,,46,221,185,43,86,19,9,5,57,13,4,28,23,0.465,0.543,0.746,1.289,138,,6,0,2,4
Connor Panas,2012,19,-1.2,Canisius,MAAC,NCAA,,50,151,122,17,34,11,0,0,18,1,3,19,16,0.279,0.396,0.369,0.765,45,,6,2,2,0
Connor Panas,2013,20,-0.6,Canisius,MAAC,NCAA,,50,209,165,40,53,6,3,1,18,6,1,28,18,0.321,0.451,0.412,0.864,68,,12,3,1,0
Connor Panas,2014,21,0.6,Canisius,MAAC,NCAA,,53,228,188,38,68,16,3,6,51,16,3,26,36,0.362,0.443,0.574,1.017,108,,7,0,7,3
Connor Panas,2015,22,1.4,Canisius,MAAC,NCAA,,64,299,247,67,92,17,7,11,68,19,5,33,39,0.372,0.472,0.632,1.103,156,,16,0,3,4
Ryan Krill,2012,19,-1.4,Michigan State,BTen,NCAA,,57,230,191,29,56,8,0,3,28,0,1,21,24,0.293,0.387,0.382,0.769,73,,10,5,3,1
Ryan Krill,2013,20,-0.6,Michigan State,BTen,NCAA,,50,214,191,24,55,11,1,1,25,0,1,14,26,0.288,0.336,0.372,0.708,71,,3,0,6,3
Ryan Krill,2014,21,0.3,Michigan State,BTen,NCAA,,55,236,205,27,48,16,0,3,15,2,0,24,36,0.234,0.322,0.356,0.678,73,,3,3,1,1
Ryan Krill,2015,22,1.1,Michigan State,BTen,NCAA,,56,245,205,42,72,13,1,13,57,1,3,27,30,0.351,0.439,0.615,1.053,126,,8,1,4,2
Conner Hale,2014,21,0.5,Louisiana State,SEC,NCAA,,60,226,209,38,64,11,1,4,29,0,0,10,17,0.306,0.335,0.426,0.761,89,,0,5,2,1
Conner Hale,2015,22,1.5,Louisiana State,SEC,NCAA,,64,288,263,49,86,17,3,4,56,1,1,18,34,0.327,0.373,0.46,0.833,121,,3,1,3,0
David Kerian,2012,19,-1.4,Illinois,BTen,NCAA,,22,31,26,4,5,0,0,0,2,1,0,5,7,0.192,0.323,0.192,0.515,5,,0,0,0,0
David Kerian,2013,20,-0.6,Illinois,BTen,NCAA,,53,226,195,30,61,11,1,1,39,23,5,25,34,0.313,0.39,0.395,0.785,77,,1,3,2,1
David Kerian,2014,21,0.3,Illinois,BTen,NCAA,,51,230,193,24,54,12,3,2,33,9,4,31,39,0.28,0.384,0.404,0.788,78,,3,1,2,0
David Kerian,2015,22,1.1,Illinois,BTen,NCAA,,60,250,207,46,76,10,2,16,52,9,3,37,28,0.367,0.462,0.667,1.129,138,,2,1,3,3
Tanner Lubach,2013,20,-0.6,Nebraska,BTen,NCAA,,49,190,163,19,39,6,1,2,27,2,1,14,35,0.239,0.308,0.325,0.633,53,,3,8,2,0
Tanner Lubach,2014,21,0.3,Nebraska,BTen,NCAA,,45,172,149,14,42,10,1,3,27,1,0,13,27,0.282,0.337,0.423,0.76,63,,1,6,3,0
Tanner Lubach,2015,22,1.1,Nebraska,BTen,NCAA,,51,211,186,31,58,10,1,4,26,2,1,14,29,0.312,0.375,0.441,0.816,82,,6,3,2,0
Joey Armstrong,2013,19,-1.5,Nevada-Las Vegas,MWC,NCAA,,57,256,219,42,71,8,3,0,33,10,3,29,26,0.324,0.404,0.388,0.792,85,,1,6,1,0
Joey Armstrong,2014,20,-0.5,Nevada-Las Vegas,MWC,NCAA,,51,240,205,36,62,8,3,4,27,7,4,28,29,0.302,0.388,0.429,0.817,88,,2,3,2,0
Joey Armstrong,2015,21,0.6,Nevada-Las Vegas,MWC,NCAA,,54,256,213,34,59,9,1,2,26,8,2,35,37,0.277,0.387,0.357,0.744,76,,5,0,3,2
Leon Byrd,2013,19,-1.5,Rice,CUSA,NCAA,,64,306,233,36,64,9,1,1,21,8,6,44,37,0.275,0.42,0.335,0.755,78,,15,13,1,1
Leon Byrd,2014,20,-0.6,Rice,CUSA,NCAA,,45,204,163,28,42,6,2,0,16,5,4,28,28,0.258,0.379,0.319,0.698,52,,5,6,2,0
Leon Byrd,2015,21,0.1,Rice,CUSA,NCAA,,52,232,200,32,48,12,2,1,35,5,0,20,48,0.24,0.316,0.335,0.651,67,,4,4,4,2
Sean Miller,2013,18,-2.4,USC Aiken,PBC,NCAA,,55,228,210,26,59,9,2,1,35,6,3,8,30,0.281,0.306,0.357,0.663,75,,1,6,3,0
Sean Miller,2014,19,-2,USC Aiken,PBC,NCAA,,53,222,195,44,74,7,3,1,37,13,1,10,23,0.379,0.406,0.462,0.867,90,,4,5,8,0
Sean Miller,2015,20,-1,USC Aiken,PBC,NCAA,,50,232,215,39,70,13,1,4,37,6,1,10,20,0.326,0.359,0.451,0.81,97,,3,1,3,0
Mitchell Gunsolus,2012,19,-1.4,Gonzaga,WCC,NCAA,,15,52,43,2,8,1,0,0,3,0,0,5,11,0.186,0.3,0.209,0.509,9,,2,2,0,1
Mitchell Gunsolus,2013,20,-0.5,Gonzaga,WCC,NCAA,,54,263,212,38,61,7,6,0,21,5,1,33,32,0.288,0.394,0.377,0.771,80,,6,9,3,2
Mitchell Gunsolus,2014,21,0.6,Gonzaga,WCC,NCAA,,55,258,202,38,58,8,4,0,23,4,7,43,42,0.287,0.417,0.366,0.784,74,,5,4,4,0
Mitchell Gunsolus,2015,22,1.5,Gonzaga,WCC,NCAA,,51,245,207,46,73,15,3,7,34,4,3,33,32,0.353,0.449,0.556,1.005,115,,4,0,1,2
Jackson Glines,2014,22,1.3,Michigan,BTen,NCAA,,60,266,214,38,71,19,3,1,43,14,2,28,25,0.332,0.444,0.463,0.907,99,,17,5,2,2
Jackson Glines,2015,23,2.1,Michigan,BTen,NCAA,,61,278,238,55,83,13,3,5,34,7,4,33,24,0.349,0.44,0.492,0.932,117,,6,1,0,1
Vimael Machín,2012,18,-2.4,Virginia Commonwealth,CAA,NCAA,,59,252,223,31,65,13,1,2,27,2,2,21,29,0.291,0.348,0.386,0.734,86,,1,2,5,1
Vimael Machín,2013,19,-1.3,Virginia Commonwealth,A10,NCAA,,45,200,167,21,45,8,1,4,30,2,1,22,31,0.269,0.374,0.401,0.775,67,,7,2,2,1
Vimael Machín,2014,20,-0.5,Virginia Commonwealth,A10,NCAA,,57,256,199,40,61,11,1,3,52,2,0,30,21,0.307,0.421,0.417,0.838,83,,15,4,8,0
Vimael Machín,2015,21,0.4,Virginia Commonwealth,A10,NCAA,,65,294,254,42,86,13,2,3,53,6,7,27,28,0.339,0.401,0.441,0.842,112,,5,0,8,2
Josh Tobias,2012,19,-1.4,Florida,SEC,NCAA,,51,156,135,26,34,5,2,0,10,3,2,7,26,0.252,0.32,0.319,0.639,43,,7,6,1,0
