Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,
Anthony Rendon,2013,23,WSN,NL,0.4,98,394,351,40,93,23,1,7,35,1,1,31,69,0.265,0.329,0.396,0.725,98,0.323,95,139,7,5,2,5,3,45/6H,,
Anthony Rendon,2014,24,WSN,NL,6.5,153,683,613,111,176,39,6,21,83,17,3,58,104,0.287,0.351,0.473,0.824,126,0.369,127,290,11,5,2,5,2,*54/H,"MVP-5,SS",
Anthony Rendon,2015,25,WSN,NL,0.5,80,355,311,43,82,16,0,5,25,1,2,36,70,0.264,0.344,0.363,0.707,93,0.318,92,113,8,4,0,4,0,45/H,,
George Springer,2014,24,HOU,AL,2,78,345,295,45,68,8,1,20,51,5,2,39,114,0.231,0.336,0.468,0.804,126,0.363,131,138,4,9,0,2,4,9/8D,ROY-8,
George Springer,2015,25,HOU,AL,4.2,102,451,388,59,107,19,2,16,41,16,4,50,109,0.276,0.367,0.459,0.826,129,0.372,135,178,4,8,2,3,0,98/H,,
George Springer,2016,26,HOU,AL,5.1,162,744,644,116,168,29,5,29,82,9,10,88,178,0.261,0.359,0.457,0.815,125,0.353,128,294,12,11,0,1,2,*9D/8H,,
C.J. Cron,2014,24,LAA,AL,-0.1,79,253,242,28,62,12,1,11,37,0,0,10,61,0.256,0.289,0.45,0.739,111,0.327,110,109,10,1,0,0,0,D3H,,
C.J. Cron,2015,25,LAA,AL,0.2,113,404,378,37,99,17,1,16,51,3,1,17,82,0.262,0.3,0.439,0.739,106,0.317,101,166,9,5,0,3,1,3DH,,
C.J. Cron,2016,26,LAA,AL,1.9,116,445,407,51,113,25,2,16,69,2,3,24,75,0.278,0.325,0.467,0.792,116,0.344,120,190,9,7,0,5,1,3D/H,,
Joe Panik,2014,23,SFG,NL,1.9,73,287,269,31,82,10,2,1,18,0,0,16,33,0.305,0.343,0.368,0.711,105,0.321,103,99,4,0,1,1,0,4/H,ROY-6,
Joe Panik,2015,24,SFG,NL,3.7,100,432,382,59,119,27,2,8,37,3,2,38,42,0.312,0.378,0.455,0.833,129,0.366,130,174,7,5,3,4,0,4/H,AS,
Joe Panik,2016,25,SFG,NL,1.2,127,526,464,67,111,21,7,10,62,5,0,50,47,0.239,0.315,0.379,0.695,88,0.309,84,176,14,4,3,5,5,*4/H,GG,
Mickie Mahtook,2015,25,TBR,AL,1.3,41,115,105,22,31,5,1,9,19,4,3,6,31,0.295,0.351,0.619,0.97,165,0.427,184,65,0,3,1,0,0,789/HD,,
Mickie Mahtook,2016,26,TBR,AL,-1.1,65,196,185,16,36,9,0,3,11,0,1,7,68,0.195,0.231,0.292,0.523,44,0.224,31,54,2,2,1,1,0,789/HD,,
Mickie Mahtook,2017,27,DET,AL,0.2,109,379,348,50,96,15,6,12,38,6,0,23,79,0.276,0.33,0.457,0.787,107,0.353,113,159,4,6,0,2,0,897H/D,,
Brad Miller,2013,23,SEA,AL,2.1,76,335,306,41,81,11,6,8,36,5,3,24,52,0.265,0.318,0.418,0.737,110,0.323,108,128,2,1,2,2,0,64/5H,,
Brad Miller,2014,24,SEA,AL,1.3,123,411,367,47,81,15,4,10,36,4,2,34,95,0.221,0.288,0.365,0.653,88,0.305,93,134,2,2,3,3,2,64/H5D,,
Brad Miller,2015,25,SEA,AL,0.3,144,497,438,44,113,22,4,11,46,13,4,47,101,0.258,0.329,0.402,0.73,105,0.328,107,176,7,2,4,6,0,687H4D/95,,
Nick Ahmed,2014,24,ARI,NL,-0.1,25,75,70,9,14,2,0,1,4,0,1,3,10,0.2,0.233,0.271,0.504,40,0.245,43,19,2,0,2,0,0,6/H4,,
Nick Ahmed,2015,25,ARI,NL,1,134,459,421,49,95,17,6,9,34,4,5,29,81,0.226,0.275,0.359,0.634,69,0.286,66,151,4,1,5,3,1,*6/H,,
Nick Ahmed,2016,26,ARI,NL,0.3,90,308,284,26,62,9,1,4,20,5,2,15,58,0.218,0.265,0.299,0.564,46,0.247,29,85,9,4,2,3,3,6/H,,
Andrew Susac,2014,24,SFG,NL,0.7,35,95,88,13,24,8,0,3,19,0,0,7,28,0.273,0.326,0.466,0.792,125,0.348,124,41,0,0,0,0,0,2/H,,
Andrew Susac,2015,25,SFG,NL,0.1,52,148,133,14,29,7,2,3,14,0,0,14,43,0.218,0.297,0.368,0.666,82,0.303,83,49,2,1,0,0,0,2H,,
Andrew Susac,2016,26,MIL,NL,0.1,9,19,17,3,4,1,0,1,2,0,0,2,5,0.235,0.316,0.471,0.786,105,0.34,102,8,0,0,0,0,0,/2H,,
Kyle Kubitza,2015,24,LAA,AL,-0.3,19,39,36,6,7,0,0,0,1,0,0,3,15,0.194,0.256,0.194,0.451,31,0.211,23,7,2,0,0,0,0,5/H47D,,
John Hicks,2015,25,SEA,AL,-0.5,17,34,32,1,2,1,0,0,1,1,1,1,18,0.063,0.091,0.094,0.185,-48,0.079,-76,3,0,0,1,0,0,2/DH5,,
John Hicks,2016,26,DET,AL,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0.5,0.5,1,1.5,291,0.617,313,2,0,0,0,0,0,/3,,
John Hicks,2017,27,DET,AL,0.3,60,190,173,25,46,12,0,6,22,2,1,13,51,0.266,0.326,0.439,0.766,102,0.328,98,76,5,3,0,1,0,32DH,,
Matt Skole,2018,28,CHW,AL,0,4,13,11,2,3,0,0,1,1,0,0,2,3,0.273,0.385,0.545,0.93,154,0.398,155,6,0,0,0,0,0,/D3,,
Matt Skole,2019,29,CHW,AL,-0.7,27,80,72,7,15,2,0,0,6,0,0,7,31,0.208,0.275,0.236,0.511,40,0.232,34,17,0,0,0,1,0,D/3H,,
Beau Taylor,2018,28,OAK,AL,0,7,6,5,0,1,1,0,0,0,0,0,1,2,0.2,0.333,0.4,0.733,103,0.322,101,2,0,0,0,0,0,/2HD,,
Beau Taylor,2019,29,OAK,AL,0.1,10,28,23,3,4,0,0,2,2,0,0,4,6,0.174,0.321,0.435,0.756,104,0.325,104,10,0,1,0,0,0,/2H,,
Taylor Featherston,2015,25,LAA,AL,-0.1,101,169,154,23,25,5,1,2,9,4,2,7,46,0.162,0.212,0.247,0.459,30,0.216,25,38,3,3,4,1,0,54H6/D,,
Taylor Featherston,2016,26,PHI,NL,-0.3,19,28,26,2,3,1,0,0,1,2,0,2,11,0.115,0.179,0.154,0.332,-9,0.176,-26,4,0,0,0,0,0,H/4,,
Taylor Featherston,2017,27,TBR,AL,-0.2,17,47,39,6,7,1,0,2,6,1,0,5,15,0.179,0.277,0.359,0.636,72,0.297,77,14,1,1,0,2,0,4/6H35,,
Nick Martini,2018,28,OAK,AL,1.5,55,179,152,26,45,9,3,1,19,0,0,21,36,0.296,0.397,0.414,0.811,127,0.366,134,63,0,5,0,1,1,7H/89,,
Nick Martini,2019,29,OAK,AL,-0.1,6,13,11,1,1,0,0,1,2,0,0,2,5,0.091,0.231,0.364,0.594,58,0.254,53,4,0,0,0,0,0,/7H1D,,
Nick Martini,2021,31,CHC,NL,-0.3,25,45,37,4,10,1,0,0,4,0,1,6,10,0.27,0.356,0.297,0.653,80,0.28,74,11,0,0,0,2,1,H/79,,
Kevan Smith,2016,28,CHW,AL,-0.1,7,16,16,2,2,0,0,0,0,0,0,0,6,0.125,0.125,0.125,0.25,-30,0.161,-17,2,1,0,0,0,0,/2D,,
Kevan Smith,2017,29,CHW,AL,-0.2,87,294,276,23,78,17,0,4,30,0,0,9,46,0.283,0.309,0.388,0.697,88,0.306,85,107,9,3,2,3,0,2H/D,,
Kevan Smith,2018,30,CHW,AL,0.5,52,187,171,21,50,6,0,3,21,1,0,10,18,0.292,0.348,0.38,0.728,102,0.327,103,65,5,5,0,1,0,2/HD,,
Danny Muno,2015,26,NYM,NL,-0.3,17,32,27,2,4,1,0,0,0,1,0,4,11,0.148,0.258,0.185,0.443,26,0.213,10,5,1,0,1,0,0,H/54D,,
Jason Krizan,2022,33,SFG,NL,0,3,10,8,0,1,0,0,0,0,0,0,2,3,0.125,0.3,0.125,0.425,28,0.229,39,1,0,0,0,0,0,/7,,
Tommy La Stella,2014,25,ATL,NL,0.1,93,360,319,22,80,16,1,1,31,2,1,36,40,0.251,0.328,0.317,0.644,84,0.296,81,101,8,1,3,1,2,4/HD,,
Tommy La Stella,2015,26,CHC,NL,0.6,33,75,67,4,18,6,0,1,11,2,0,5,7,0.269,0.324,0.403,0.727,100,0.328,97,27,1,1,0,1,0,H45,,
Tommy La Stella,2016,27,CHC,NL,0.4,74,169,148,17,40,12,1,2,11,0,1,18,27,0.27,0.357,0.405,0.763,103,0.344,109,60,2,2,0,0,1,H5/4,,
Austin Barnes,2015,25,LAD,NL,0.1,20,37,29,4,6,2,0,0,1,1,0,6,6,0.207,0.361,0.276,0.637,83,0.313,89,8,2,1,1,0,0,2/H45,,
Austin Barnes,2016,26,LAD,NL,-0.1,21,37,32,3,5,1,0,0,2,0,0,5,9,0.156,0.27,0.188,0.458,28,0.22,21,6,0,0,0,0,0,/2H45,,
Austin Barnes,2017,27,LAD,NL,2.5,102,262,218,35,63,15,2,8,38,4,1,39,43,0.289,0.408,0.486,0.895,138,0.393,144,106,6,5,0,0,1,2H4/5D,,
Travis Shaw,2015,25,BOS,AL,1.1,65,248,226,31,61,10,0,13,36,0,1,18,57,0.27,0.327,0.487,0.813,114,0.352,116,110,1,2,0,2,1,3/5H7,,
Travis Shaw,2016,26,BOS,AL,1.7,145,530,480,63,116,34,2,16,71,5,1,43,133,0.242,0.306,0.421,0.726,90,0.317,86,202,10,3,0,4,4,53H/D7,,
Travis Shaw,2017,27,MIL,NL,3.7,144,606,538,84,147,34,1,31,101,10,0,60,138,0.273,0.349,0.513,0.862,121,0.37,120,276,20,4,1,3,6,*5/3DH,,
Curt Casali,2014,25,TBR,AL,-0.1,30,84,72,10,12,3,0,0,3,0,0,8,23,0.167,0.268,0.208,0.477,40,0.243,44,15,2,2,2,0,0,2/DH,,
Curt Casali,2015,26,TBR,AL,0.9,38,113,101,13,24,6,0,10,18,0,0,8,34,0.238,0.304,0.594,0.898,143,0.382,147,60,2,2,1,1,0,2/HD,,
Curt Casali,2016,27,TBR,AL,0.8,84,256,226,23,42,10,0,8,25,0,0,25,82,0.186,0.273,0.336,0.609,68,0.279,70,76,2,2,3,0,1,2/DH,,
Mike Zunino,2013,22,SEA,AL,0.4,52,193,173,22,37,5,0,5,14,1,0,16,49,0.214,0.29,0.329,0.62,78,0.293,84,57,5,3,0,1,0,2/H,,
Mike Zunino,2014,23,SEA,AL,0.4,131,476,438,51,87,20,2,22,60,0,3,17,158,0.199,0.254,0.404,0.658,88,0.285,81,177,12,17,0,4,1,*2/DH,,
Mike Zunino,2015,24,SEA,AL,-0.8,112,386,350,28,61,11,0,11,28,0,1,21,132,0.174,0.23,0.3,0.53,48,0.236,40,105,6,5,8,2,0,*2/H,,
Deven Marrero,2015,24,BOS,AL,-0.2,25,56,53,8,12,0,0,1,3,2,1,3,19,0.226,0.268,0.283,0.551,48,0.244,34,15,0,0,0,0,0,5/H6D4,,
Deven Marrero,2016,25,BOS,AL,-0.1,13,14,12,0,1,0,0,0,0,0,0,2,5,0.083,0.214,0.083,0.298,-16,0.163,-26,1,0,0,0,0,0,/456HD,,
Deven Marrero,2017,26,BOS,AL,0.4,71,188,171,32,36,9,0,4,27,5,0,12,61,0.211,0.259,0.333,0.593,54,0.282,55,57,8,0,3,2,0,54H/63,,
Richie Shaffer,2015,24,TBR,AL,-0.2,31,88,74,11,14,3,0,4,6,0,1,10,32,0.189,0.307,0.392,0.699,95,0.313,100,29,2,3,0,1,0,3/DH597,,
Richie Shaffer,2016,25,TBR,AL,0.2,20,54,48,5,12,6,0,1,4,0,1,5,18,0.25,0.315,0.438,0.752,105,0.328,113,21,0,0,0,1,0,3/D59H,,
