Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,,,,,,
Anthony Rendon,2011,21,0.3,Rice,CUSA,NCAA,,63,302,214,58,70,20,2,6,37,13,5,80,33,0.327,0.52,0.523,1.043,112,,7,0,1,,,,,,,
George Springer,2011,21,0.4,Connecticut,BigE,NCAA,,66,307,245,61,84,23,3,12,77,31,7,36,40,0.343,0.45,0.608,1.058,149,,18,0,8,,,,,,,
C.J. Cron,2011,21,0.4,Utah,MWC,NCAA,,49,238,198,51,86,26,1,15,59,1,1,31,21,0.434,0.517,0.803,1.32,159,,6,0,3,,,,,,,
Joe Panik,2011,20,-0.6,St. John's,BigE,NCAA,,58,281,226,60,90,19,3,10,57,21,6,44,24,0.398,0.509,0.642,1.15,145,,9,0,2,,,,,,,
Mikie Mahtook,2011,21,0.4,Louisiana State,SEC,NCAA,,56,244,196,61,75,12,5,14,56,29,9,41,32,0.383,0.496,0.709,1.205,139,,5,0,2,,,,,,,
Brad Miller,2011,21,0.6,Clemson,ACC,NCAA,,56,243,195,53,77,11,3,5,50,21,5,40,34,0.395,0.498,0.559,1.057,109,,3,2,3,,,,,,,
Jason Esposito,2011,20,-0.6,Vanderbilt,SEC,NCAA,,66,303,268,55,91,22,1,9,59,15,10,17,45,0.34,0.403,0.53,0.933,142,,13,3,2,,,,,,,
Nick Ahmed,2011,21,0.4,Connecticut,BigE,NCAA,,51,236,190,52,62,11,2,2,35,23,6,27,18,0.326,0.425,0.437,0.862,83,,8,8,3,,,,,,,
Andrew Susac,2011,21,0.6,Oregon State,P10,NCAA,,40,178,141,31,42,9,4,5,32,0,1,28,36,0.298,0.429,0.525,0.954,74,,6,1,2,,,,,,,
Jack Armstrong,2011,21,,Vanderbilt,SEC,NCAA,,,,,2.65,3.18,,0,,,0,,17,6,6,5,,18,,17,,,,,1.412,3.2,,9.5,9,0.94
Pratt Maynard,2011,21,0.6,NC State,ACC,NCAA,,62,292,251,46,81,21,1,5,41,1,0,38,45,0.323,0.414,0.474,0.888,119,,1,2,0,,1.412,3.2,,9.5,9,0.94
B.A. Vollmuth,2011,21,0.3,Southern Mississippi,CUSA,NCAA,,55,267,219,48,66,12,3,12,49,2,0,37,60,0.301,0.408,0.548,0.955,120,,5,2,4,,,,,,,
Aaron Westlake,2011,22,1.4,Vanderbilt,SEC,NCAA,,66,307,250,59,86,18,1,18,56,2,5,47,54,0.344,0.463,0.64,1.103,160,,9,0,1,,,,,,,
Kyle Kubitza,2011,20,-0.8,Texas State,SLC,NCAA,,64,298,226,59,70,12,7,10,66,16,3,54,48,0.31,0.446,0.558,1.003,126,,7,4,7,,,,,,,
Ricky Oropesa,2011,21,0.6,Southern California,P10,NCAA,,56,246,208,35,67,10,1,7,44,4,2,29,46,0.322,0.402,0.481,0.883,100,,3,0,6,,,,,,,
John Hicks,2011,21,0.6,Virginia,ACC,NCAA,,68,308,277,52,92,21,1,8,59,5,4,18,19,0.332,0.373,0.502,0.875,139,,5,0,8,,,,,,,
Jake Lowery,2011,20,-0.4,James Madison,CAA,NCAA,,61,294,251,80,90,22,8,24,91,9,3,38,47,0.359,0.442,0.797,1.239,200,,2,0,3,,,,,,,
Jason King,2011,22,1.2,Kansas State,B12,NCAA,,61,269,230,46,75,19,6,10,59,16,2,18,25,0.326,0.377,0.591,0.968,136,,8,1,12,,,,,,,
Riccio Torrez,2011,21,0.6,Arizona State,P10,NCAA,,57,259,228,37,70,17,4,4,54,15,4,15,30,0.307,0.363,0.469,0.833,107,,8,3,5,,,,,,,
Matt Skole,2011,21,0.6,Georgia Tech,ACC,NCAA,,61,283,233,56,81,16,0,10,58,1,3,44,33,0.348,0.445,0.545,0.99,127,,1,0,5,,,,,,,
Beau Taylor,2011,21,0.3,Central Florida,CUSA,NCAA,,61,266,231,51,75,11,2,5,47,0,3,23,27,0.325,0.385,0.455,0.84,105,,3,4,5,,,,,,,
Brandon Loy,2011,21,0.2,Texas,B12,NCAA,,68,322,269,50,92,23,3,1,30,19,4,34,28,0.342,0.419,0.461,0.88,124,,3,14,2,,,,,,,
Taylor Featherston,2011,21,0.4,Texas Christian,MWC,NCAA,,62,289,245,53,82,13,4,3,42,6,5,18,32,0.335,0.41,0.457,0.867,112,,18,1,7,,,,,,,
Ryan Wright,2011,21,0.4,Louisville,BigE,NCAA,,61,272,234,49,81,15,4,12,52,16,2,33,32,0.346,0.426,0.598,1.025,140,,2,0,3,,,,,,,
Tyler Grimes,2011,20,-0.6,Wichita State,MVC,NCAA,,65,321,243,67,73,10,2,5,32,28,4,57,61,0.3,0.467,0.42,0.887,102,,19,2,0,,,,,,,
Dan Gamache,2011,20,-0.6,Auburn,SEC,NCAA,,53,235,194,35,58,13,2,5,29,2,0,30,33,0.299,0.414,0.464,0.878,90,,8,3,0,,,,,,,
Brandon Meredith,2011,21,0.4,San Diego State,MWC,NCAA,,56,248,194,44,52,15,4,5,38,7,3,41,47,0.268,0.415,0.464,0.879,90,,10,0,3,,,,,,,
Kyle Gaedele,2011,21,0.4,Valparaiso,Horz,NCAA,,57,266,221,53,69,17,3,7,39,23,4,38,50,0.312,0.417,0.511,0.929,113,,4,0,3,,,,,,,
Zach Wright,2011,21,0.3,East Carolina,CUSA,NCAA,,62,274,228,47,62,15,1,13,39,6,1,34,59,0.272,0.376,0.518,0.894,118,,6,3,3,,,,,,,
Zach Wright,2012,22,1.2,East Carolina,CUSA,NCAA,,59,251,211,41,62,12,0,5,39,10,2,26,41,0.294,0.383,0.422,0.805,89,,7,3,4,1,,,,,,
Steven Proscia,2011,21,0.6,Virginia,ACC,NCAA,,68,308,275,52,88,19,1,8,59,11,5,20,38,0.32,0.368,0.484,0.852,133,,5,1,7,,,,,,,
Cole Frenzel,2011,21,0.6,Arizona,P10,NCAA,,60,287,228,48,79,16,1,3,48,9,2,31,35,0.346,0.461,0.465,0.926,106,,19,7,2,,,,,,,
Scott Woodward,2011,22,1.2,Coastal Carolina,BigS,NCAA,,55,264,193,57,66,17,1,4,37,31,4,35,58,0.342,0.48,0.503,0.983,97,,22,8,6,,,,,,,
Harold Riggins,2011,21,0.6,NC State,ACC,NCAA,,60,258,207,33,65,11,2,4,35,2,3,37,67,0.314,0.436,0.444,0.88,92,,10,1,3,,,,,,,
Nick Martini,2011,21,0.2,Kansas State,B12,NCAA,,61,278,221,48,72,15,4,1,44,24,4,37,27,0.326,0.442,0.443,0.885,98,,12,4,4,,,,,,,
Kevan Smith,2011,23,2.4,Pittsburgh,BigE,NCAA,,54,243,209,59,83,17,4,11,56,10,1,22,20,0.397,0.465,0.675,1.14,141,,8,0,4,,,,,,,
John Ruettiger,2011,21,0.6,Arizona State,P10,NCAA,,60,289,245,53,80,8,4,0,37,23,13,34,31,0.327,0.411,0.392,0.803,96,,4,2,4,,,,,,,
Taylor Dugas,2011,21,0.4,Alabama,SEC,NCAA,,63,290,241,60,84,20,4,8,33,8,5,41,22,0.349,0.455,0.564,1.019,136,,7,0,1,,,,,,,
